Volcano_Number,Volcano_Name,Primary_Volcano_Type,Latitude,Longitude,Elevation
341120,Agua Caliente,"Thermal of Chichon, El",NULL,NULL,NULL
355150,Agua Caliente del Tuzgle,Thermal of Tuzgle,NULL,NULL,NULL
321050,Agua Caliente Hot Springs,Hot Spring of St. Helens,NULL,NULL,NULL
311390,Amak,Stratovolcano,55.424,-163.149,488
357066,Agua de Torres,Pyroclastic cone of Payun Matru,NULL,NULL,NULL
345040,"Agua Fría, Laguna de",Synonym of Poas,NULL,NULL,NULL
341012,"Agua Grande, Cerro",Pyroclastic cone of Comondu-La Purisima,NULL,NULL,NULL
357066,Agua Poca,Vent of Payun Matru,NULL,NULL,NULL
343010,Agua Shuca,Thermal of Apaneca Range,NULL,NULL,NULL
353050,"Agua, Cerro","Pyroclastic cone of Negra, Sierra",NULL,NULL,NULL
341080,"Agua, Cerro del",Pyroclastic cone of Chichinautzin,NULL,NULL,NULL
344020,"Agua, Laguna de",Crater of San Cristobal (Nicaragua),NULL,NULL,NULL
382050,Agualva,Dome of Terceira,NULL,NULL,NULL
355100,Aguas Calientes,Stratovolcano of Lascar,NULL,NULL,NULL
355108,Aguas Perdidas,"Synonym of Negrillar, La",NULL,NULL,NULL
345020,Aguas Termales,Thermal of Rincon de la Vieja,NULL,NULL,NULL
345034,Aguas Zarcas,Pyroclastic cone of Platanar,NULL,NULL,NULL
344040,"Aguero, Cerro de",Cone of Telica,NULL,NULL,NULL
343010,"Aguila, Cerro el",Stratovolcano of Apaneca Range,NULL,NULL,NULL
341060,"Aguila, Cerro la",Stratovolcano of Michoacan-Guanajuato,NULL,NULL,NULL
341130,"Aguila, El",Synonym of San Antonio,NULL,NULL,NULL
357066,"Aguila, El",Pyroclastic cone of Payun Matru,NULL,NULL,NULL
341070,"Aguila, Pico del","Dome of Toluca, Nevado de",NULL,NULL,NULL
341093,"Aguilas, Las","Dome of Humeros, Los",NULL,NULL,NULL
234001,Amsterdam Island,Stratovolcano,-37.83,77.52,881
341012,"Aguilillas, Cerro",Pyroclastic cone of Comondu-La Purisima,NULL,NULL,NULL
311190,Amukta,Stratovolcano,52.5,-171.252,1066
263130,Agung,Crater of Guntur,NULL,NULL,NULL
283210,Aguroshi-yama,Cone of Kurikomayama,NULL,NULL,NULL
322070,Ahalapan Cinder Field,Pyroclastic cone of Three Sisters,NULL,NULL,NULL
341080,"Aholo, Volcán",Cone of Chichinautzin,NULL,NULL,NULL
251050,Ahrup,Synonym of Long Island,NULL,NULL,NULL
341030,"Ahuacatlán, Volcán de",Synonym of Ceboruco,NULL,NULL,NULL
343010,Ahuachapán,Synonym of Apaneca Range,NULL,NULL,NULL
341092,"Ahuatepec, Cerro",Cone of Serdán-Oriental,NULL,NULL,NULL
341080,"Ahuazatépetl, Volcán",Pyroclastic cone of Chichinautzin,NULL,NULL,NULL
332030,Ahumoa,Cone of Mauna Kea,NULL,NULL,NULL
284200,Anatahan,Stratovolcano,16.35,145.67,790
221160,Aielu,Synonym of Ayelu,NULL,NULL,NULL
311310,Aigagin,Synonym of Makushin,NULL,NULL,NULL
210030,"Aiguanegra, Volcà",Cone of Olot Volcanic Field,NULL,NULL,NULL
234020,Aiguille Noire,Cone of Kerguelen Islands,NULL,NULL,NULL
332010,Ai-Laau,Shield volcano of Kilauea,NULL,NULL,NULL
360120,Aileron,Dome of Pelée,NULL,NULL,NULL
283120,Ainomine,Cone of Kusatsu-Shiranesan,NULL,NULL,NULL
290100,Ainu Tukap,Synonym of Tukap,NULL,NULL,NULL
390023,Andrus,Shield(s),-75.8,-132.33,2978
282080,Aira,Pleistocene caldera of Aira,NULL,NULL,NULL
341060,"Aire, Cerro del",Pyroclastic cone of Michoacan-Guanajuato,NULL,NULL,NULL
266030,Aisepoet,Synonym of Aeseput,NULL,NULL,NULL
320100,Aiyansh Volcano,Synonym of Tseax River Cone,NULL,NULL,NULL
283160,Aizu-Fuji,Synonym of Bandaisan,NULL,NULL,NULL
283160,Aizu-yama,Synonym of Bandaisan,NULL,NULL,NULL
311310,Ajagin,Synonym of Makushin,NULL,NULL,NULL
311310,Ajagisch,Synonym of Makushin,NULL,NULL,NULL
263130,Ajakan,Synonym of Ayakan,NULL,NULL,NULL
355012,"Ajata, Volcanes de",Pyroclastic cone of Parinacota,NULL,NULL,NULL
263300,Ajek-Ajek,Caldera of Semeru,NULL,NULL,NULL
221160,Ajel,Synonym of Ayelu,NULL,NULL,NULL
221160,Ajelou,Synonym of Ayelu,NULL,NULL,NULL
341080,"Ajusco, Volcán",Dome of Chichinautzin,NULL,NULL,NULL
290290,Aka-dake,Synonym of Sinarka,NULL,NULL,NULL
285060,Aka-dake,Stratovolcano of Taisetsuzan,NULL,NULL,NULL
300260,Akademia Nauk,Fissure vent of Klyuchevskoy,NULL,NULL,NULL
312090,Aniakchak,Caldera,56.88,-158.17,1341
300125,Akademia Nauk Springs,Hot Spring of Akademia Nauk,NULL,NULL,NULL
283130,Akagi,Synonym of Akagisan,NULL,NULL,NULL
355160,Aracar,Stratovolcano,-24.29,-67.783,6095
283160,Akahani-yama,Stratovolcano of Bandaisan,NULL,NULL,NULL
282110,Akai,Pyroclastic cone of Asosan,NULL,NULL,NULL
282091,Akajima,Cone of Fukue,NULL,NULL,NULL
283010,Akakubo,Cone of Izu-Tobu,NULL,NULL,NULL
283100,Akakura,Thermal of Myokosan,NULL,NULL,NULL
283280,Akakuradake,Cone of Hakkodasan,NULL,NULL,NULL
282110,Akamizu,Thermal of Asosan,NULL,NULL,NULL
358059,Arenales,Stratovolcano,-47.2,-73.48,3437
285070,Akan,Caldera of Akan Caldera,NULL,NULL,NULL
283131,Akanagure,Dome of Hiuchigatake,NULL,NULL,NULL
300058,Asacha,Complex,52.355,157.827,1910
283069,Akandana-yama,Synonym of Akandanayama,NULL,NULL,NULL
285070,Akan-Fuji,Stratovolcano of Akan Caldera,NULL,NULL,NULL
285070,Akan-Huzi,Synonym of Akan-Fuji,NULL,NULL,NULL
285070,Akan-Kohan,Thermal of Akan Caldera,NULL,NULL,NULL
283010,Akasaka-Minami,Cone of Izu-Tobu,NULL,NULL,NULL
283030,Akatsuka,Cone of Fujisan,NULL,NULL,NULL
284020,Akazaki-no-mine,Dome of Niijima,NULL,NULL,NULL
283010,Akazawa-kaikyu,Submarine cone of Izu-Tobu,NULL,NULL,NULL
390050,Akerlundh,Cone of Seal Nunataks Group,NULL,NULL,NULL
303040,Akhat,Cone of Dariganga Volcanic Field,NULL,NULL,NULL
300280,Akhlan,Synonym of Ichinsky,NULL,NULL,NULL
300060,Akhomten,Cone of Mutnovsky,NULL,NULL,NULL
373060,Askja,Stratovolcano,65.033,-16.783,1080
343010,Akhuachapán,Synonym of Playón de Ahuachapán,NULL,NULL,NULL
