Volcano_Number,Volcano_Name,Primary_Volcano_Type,Latitude,Longitude,Elevation
341061,"Cebollas, Las",Dome of Zitácuaro-Valle de Bravo,NULL,NULL,NULL
341030,Ceboroquito,Pyroclastic cone of Ceboruco,NULL,NULL,NULL
211080,Marsili,Submarine,39.284,14.399,-779
222080,Cedar Hill,"Dome of Eburru, Ol Doinyo",NULL,NULL,NULL
382080,"Cedro, Pico do",Cone of Sete Cidades,NULL,NULL,NULL
213030,Cehennem Tepe,Crater of Tendurek Dagi,NULL,NULL,NULL
343041,"Ceiba Chacha, Cerro",Pyroclastic cone of Coatepeque Caldera,NULL,NULL,NULL
233020,"Ceille, Piton","Pyroclastic cone of Fournaise, Piton de la",NULL,NULL,NULL
263140,"Cekok, Kawah",Thermal of Galunggung,NULL,NULL,NULL
341001,Celaya Crater,Maar of Pinacate,NULL,NULL,NULL
211010,Celle,Crater of Campi Flegrei,NULL,NULL,NULL
263310,Cemara Lawang,Stratovolcano of Tengger Caldera,NULL,NULL,NULL
263350,"Cemara, Gunung",Cone of Ijen,NULL,NULL,NULL
213000,Cemel Tepe,Maar of Kula,NULL,NULL,NULL
342111,"Cementerio Brito, Cerro del",Pyroclastic cone of Cuilapa-Barbarena,NULL,NULL,NULL
342111,"Cementerio, Cerro","Synonym of Redondo, Cerro",NULL,NULL,NULL
241020,Cemetary Crater,Maar of Auckland Volcanic Field,NULL,NULL,NULL
263310,Cemorolawang,Synonym of Cemara Lawang,NULL,NULL,NULL
213000,Cemrkopru Baraj Golu,Cone of Kula,NULL,NULL,NULL
312140,Martin,Stratovolcano,58.172,-155.361,1863
341002,"Ceniza, Volcán",Pyroclastic cone of San Quintín Volcanic Field,NULL,NULL,NULL
355101,"Cenizas, Cerro",Cone of Cordón de Puntas Negras,NULL,NULL,NULL
357160,"Cenizas, Cerro",Synonym of Puntiagudo-Cordon Cenizos,NULL,NULL,NULL
300140,Ceno-Semiachik,Stratovolcano of Maly Semyachik,NULL,NULL,NULL
211060,"Centenari, Monte",Pyroclastic cone of Etna,NULL,NULL,NULL
342070,Central Atitlán,Cone of Toliman,NULL,NULL,NULL
284143,Maug Islands,Stratovolcano,20.02,145.22,227
241040,Central Cone,Stratovolcano of Whakaari/White Island,NULL,NULL,NULL
341096,Central Cone Group,Pyroclastic cone of Cofre de Perote,NULL,NULL,NULL
322170,Central Crater Complex,Caldera of Diamond Craters,NULL,NULL,NULL
322040,Central Group,Pyroclastic cone of Sand Mountain Field,NULL,NULL,NULL
233005,Mayotte,Shield,-12.83,45.17,660
322110,Central Pumice Cone,Pyroclastic cone of Newberry,NULL,NULL,NULL
211041,Central Reefs,Crater of Panarea,NULL,NULL,NULL
342080,"Central, Pico",Synonym of Acatenango,NULL,NULL,NULL
300470,Centralny,Shield volcano of Pogranychny,NULL,NULL,NULL
221020,Centre Peak,Cone of Zubair Group,NULL,NULL,NULL
341030,"Centro, El",Dome of Ceboruco,NULL,NULL,NULL
311060,Cerberus,Stratovolcano of Semisopochnoi,NULL,NULL,NULL
312160,"Cerberus, Mount",Dome of Trident,NULL,NULL,NULL
234011,McDonald Islands,Complex,-53.03,72.6,230
263170,Cerimai,Synonym of Cereme,NULL,NULL,NULL
251050,Cerisy Peak,Stratovolcano of Long Island,NULL,NULL,NULL
263170,Cerme,Synonym of Cereme,NULL,NULL,NULL
342110,"Cerra, La",Cone of Pacaya,NULL,NULL,NULL
382090,Cerrado Novo,Dome of Agua de Pau,NULL,NULL,NULL
355094,"Cerrillo, Cerro el","Synonym of Chajnantor, Cerro",NULL,NULL,NULL
341095,"Cerrito, Cerro el",Pyroclastic cone of Naolinco Volcanic Field,NULL,NULL,NULL
343050,"Cerrito, Cerro el",Pyroclastic cone of San Salvador,NULL,NULL,NULL
343010,"Cerrito, El",Pyroclastic cone of Apaneca Range,NULL,NULL,NULL
342150,"Cerritos, Los","Cone of Santiago, Cerro",NULL,NULL,NULL
343071,"Cerrón, Cerro",Dome of Apastepeque Field,NULL,NULL,NULL
342180,"Cerrón, Cerro el",Cone of Ixtepeque,NULL,NULL,NULL
343002,"Cerrón, El","Synonym of Singuil, Cerro",NULL,NULL,NULL
210020,"Ceyssat, Maar de",Maar of Chaine des Puys,NULL,NULL,NULL
384010,Cha,Caldera of Fogo,NULL,NULL,NULL
221290,Chabbi,Synonym of Chebbi,NULL,NULL,NULL
323020,Medicine Lake,Shield,41.611,-121.554,2412
290030,Chacha,Synonym of Chachadake [Tiatia],NULL,NULL,NULL
343060,"Chachacaste, Cerro",Dome of Ilopango,NULL,NULL,NULL
290030,Chachadake,Somma of Chachadake [Tiatia],NULL,NULL,NULL
390015,Melbourne,Stratovolcano,-74.35,164.7,2732
390847,Melville,Stratovolcano,-62.02,-57.67,549
290030,Chachanobori,Synonym of Chachadake [Tiatia],NULL,NULL,NULL
290030,Chachanupuri,Synonym of Chachadake [Tiatia],NULL,NULL,NULL
290390,Chachanupuri,Synonym of Alaid,NULL,NULL,NULL
358064,Meullin,Volcanic field,-45.22,-73.05,1080
355061,"Chac-Inca, Cerro","Dome of Azufre, Cerro del",NULL,NULL,NULL
300053,Chadutka,Synonym of Khodutka,NULL,NULL,NULL
342180,"Chaguitillo, Cerro",Dome of Ixtepeque,NULL,NULL,NULL
300570,Mezhdusopochny,Shield,57.47,160.25,1641
233010,Chahalé,Pit crater of Karthala,NULL,NULL,NULL
383030,Chahorra,Pyroclastic cone of Tenerife,NULL,NULL,NULL
222130,Chaimu,Cone of Chyulu Hills,NULL,NULL,NULL
222010,Chain of Craters,Crater of Central Island,NULL,NULL,NULL
284131,Minami-Hiyoshi,Submarine,23.5,141.935,-107
357130,"Chaiquemahuida, Volcán",Pyroclastic cone of Mocho-Choshuenco,NULL,NULL,NULL
223004,Chaisanduku,Crater of Bunyaruguru,NULL,NULL,NULL
311111,Moffett,Stratovolcano,51.944,-176.747,1196
355094,"Chajnantor, Cerro",Dome of Purico Complex,NULL,NULL,NULL
285031,Chakunage,Cone of Niseko,NULL,NULL,NULL
210020,"Chalard, Puy",Cone of Chaine des Puys,NULL,NULL,NULL
341080,Chalchihuites,Pyroclastic cone of Chichinautzin,NULL,NULL,NULL
343071,"Chalchuapa, Cerrito de",Pyroclastic cone of Apastepeque Field,NULL,NULL,NULL
343071,"Chalchuapa, Laguna de","Synonym of Chalchuapán, Laguna de",NULL,NULL,NULL
343071,"Chalchuapán, Laguna de",Pit crater of Apastepeque Field,NULL,NULL,NULL
358040,Challapiren,Synonym of Michinmahuida,NULL,NULL,NULL
354004,"Challhue Mauras, Volcán",Pyroclastic cone of Andahua-Orcopampa,NULL,NULL,NULL
222170,Chambagunguru,Cone of Kyejo,NULL,NULL,NULL
222170,Chambasegera,Cone of Kyejo,NULL,NULL,NULL
223003,Chambuga,Synonym of Mbuga,NULL,NULL,NULL
223004,Chamengo,Crater of Bunyaruguru,NULL,NULL,NULL
284136,Champagne,Thermal of NW Eifuku,NULL,NULL,NULL
360110,Champagne,"Thermal of Plat Pays, Morne",NULL,NULL,NULL
211010,Champes Phlegrais,Synonym of Campi Flegrei,NULL,NULL,NULL
383020,"Chamuscada, Montaña",Pyroclastic cone of Hierro,NULL,NULL,NULL
358040,Chana,Synonym of Michinmahuida,NULL,NULL,NULL
344101,"Chanal, Cerro el",Pyroclastic cone of Granada,NULL,NULL,NULL
360050,Chance's Mountain,Synonym of Soufriere Hills,NULL,NULL,NULL
360050,Chance's Peak,Dome of Soufriere Hills,NULL,NULL,NULL
354007,Chanchani,"Synonym of Chachani, Nevado",NULL,NULL,NULL
357140,"Chancho, Volcán",Pyroclastic cone of Carran-Los Venados,NULL,NULL,NULL
357090,"Chanchoco, Termas de",Thermal of Copahue,NULL,NULL,NULL
344010,"Chanchos, Los",Dome of Cosiguina,NULL,NULL,NULL
357110,Chanel,Synonym of Llaima,NULL,NULL,NULL
390024,Chang Peak,Shield volcano of Waesche,NULL,NULL,NULL
300272,Changar,Synonym of Khangar,NULL,NULL,NULL
284094,Mokuyo Seamount,Submarine,28.327,140.572,-933
233010,Changomeni,Synonym of Choungou-Chagnoumeni,NULL,NULL,NULL
233010,Changou-Chahale,Synonym of Choungou-Chahale,NULL,NULL,NULL
305060,Chang-Pai,Thermal of Changbaishan,NULL,NULL,NULL
305060,Chang-Pai-shan,Synonym of Changbaishan,NULL,NULL,NULL
275110,Changpo,Cone of Tengchong,NULL,NULL,NULL
341130,Chanjale,Caldera of Tacana,NULL,NULL,NULL
355061,Chanka,"Dome of Azufre, Cerro del",NULL,NULL,NULL
343050,"Chanmico, Laguna de",Maar of San Salvador,NULL,NULL,NULL
357067,Chanque-Mallin,Stratovolcano of Domuyo,NULL,NULL,NULL
303020,Chanuj Gol,Synonym of Khanuy Gol,NULL,NULL,NULL
300020,Chaokhch,Synonym of Koshelev,NULL,NULL,NULL
323080,Chaos Crags,Dome of Lassen Volcanic Center,NULL,NULL,NULL
343100,Chaparrastique,Synonym of San Miguel,NULL,NULL,NULL
224030,Chapchap,Cone of Oku Volcanic Field,NULL,NULL,NULL
341080,Chapultepec,Lava cone of Chichinautzin,NULL,NULL,NULL
357092,"Chapulul, Cerro","Pyroclastic cone of Marinaqui, Laguna",NULL,NULL,NULL
302070,Charash-Dag,Shield volcano of Azas Plateau,NULL,NULL,NULL
344111,Charco Muerto,Tuff ring of Zapatera,NULL,NULL,NULL
383010,"Charco, El",Pyroclastic cone of La Palma,NULL,NULL,NULL
210020,"Charmont, Puy de",Cone of Chaine des Puys,NULL,NULL,NULL
212030,Charos,Thermal of Mílos,NULL,NULL,NULL
355094,Chascón de Purico,"Synonym of Chascón, Cerro el",NULL,NULL,NULL
357140,"Chascon Norte, Cerro",Pyroclastic cone of Carran-Los Venados,NULL,NULL,NULL
357140,"Chascon Sur, Cerro",Pyroclastic cone of Carran-Los Venados,NULL,NULL,NULL
355093,"Chascon, Cerro",Dome of Guayaques,NULL,NULL,NULL
355094,"Chascón, Cerro el",Dome of Purico Complex,NULL,NULL,NULL
300450,Chashakondzha,Stratovolcano of Alney-Chashakondzha,NULL,NULL,NULL
211060,"Chasm, The","Synonym of Voragine, La",NULL,NULL,NULL
241050,"Chasm, The",Synonym of Wahanga-Waimangu,NULL,NULL,NULL
233020,"Chat, Piton de","Pyroclastic cone of Fournaise, Piton de la",NULL,NULL,NULL
343001,"Chata, Cerro la",Lava cone of San Diego,NULL,NULL,NULL
233020,"Chateau Fort, Le","Crater of Fournaise, Piton de la",NULL,NULL,NULL
353120,Chatham,Synonym of San Cristobal,NULL,NULL,NULL
345033,Chatito,Dome of Arenal,NULL,NULL,NULL
341061,Chato,Dome of Zitácuaro-Valle de Bravo,NULL,NULL,NULL
357066,Chato,Pyroclastic cone of Payun Matru,NULL,NULL,NULL
357066,Chato Segundo,Pyroclastic cone of Payun Matru,NULL,NULL,NULL
345033,"Chato, Cerro",Stratovolcano of Arenal,NULL,NULL,NULL
345020,"Chato, Cerro",Cone of Rincon de la Vieja,NULL,NULL,NULL
360060,"Chaudieres, Les",Thermal of Soufrière Guadeloupe,NULL,NULL,NULL
234001,Chaudron,Cone of Amsterdam Island,NULL,NULL,NULL
210020,"Chaumont, Puy de",Cone of Chaine des Puys,NULL,NULL,NULL
283150,Chausu-dake,Dome of Nasudake,NULL,NULL,NULL
283090,Chausu-yama,Synonym of Niigata-Yakeyama,NULL,NULL,NULL
283031,Chausu-yama,Dome of Yokodake,NULL,NULL,NULL
351080,Chavas,Crater of Galeras,NULL,NULL,NULL
300023,Chayachii,Dome of Kurile Lake,NULL,NULL,NULL
357110,Chayll,Synonym of Llaima,NULL,NULL,NULL
320811,Cheakamus Valley,Vent of Cayley Volcanic Field,NULL,NULL,NULL
221290,Chebbi,Stratovolcano of Corbetti Caldera,NULL,NULL,NULL
221050,Chebrit Ale,Synonym of Gada Ale,NULL,NULL,NULL
315020,Chechitno Peak,Synonym of Wrangell,NULL,NULL,NULL
222130,Cheimu,Synonym of Chaimu,NULL,NULL,NULL
306040,Cheju-do,Synonym of Halla,NULL,NULL,NULL
233020,"Cheli Mine, Piton","Pyroclastic cone of Fournaise, Piton de la",NULL,NULL,NULL
233010,Cheminee Nord,Synonym of Choungou-Chagnoumeni,NULL,NULL,NULL
233010,Cheminee Sud,Synonym of Chahalé,NULL,NULL,NULL
275110,Chengzilou,Cone of Tengchong,NULL,NULL,NULL
302030,Chepe,Pyroclastic cone of Udokan Plateau,NULL,NULL,NULL
222053,Cheptomas,Dome of Paka,NULL,NULL,NULL
354030,Chequepuquina,Synonym of Huaynaputina,NULL,NULL,NULL
341060,"Cheringerán, Cerro de",Pyroclastic cone of Michoacan-Guanajuato,NULL,NULL,NULL
290260,Cherinkutan,Synonym of Chirinkotan,NULL,NULL,NULL
313010,Chernabura,Synonym of Augustine,NULL,NULL,NULL
300150,Chernoye Lake,Thermal of Bolshoi Semiachik,NULL,NULL,NULL
300150,Cherny,Dome of Bolshoi Semiachik,NULL,NULL,NULL
382110,Monaco Bank,Submarine,37.6,-25.88,-197
290150,Cherny,Stratovolcano of Chirpoi,NULL,NULL,NULL
300050,Chernyi Utes,Dome of Ksudach,NULL,NULL,NULL
242050,Monowai,Submarine,-25.887,-177.188,-132
222054,Chesoro,Vent of Korosi,NULL,NULL,NULL
311120,Chetkin,Synonym of Great Sitkin,NULL,NULL,NULL
300280,Chfealin,Synonym of Ichinsky,NULL,NULL,NULL
341093,Chiapa,"Shield volcano of Humeros, Los",NULL,NULL,NULL
355035,Chiar Kkollu,"Pyroclastic cone of Jayu Khota, Laguna",NULL,NULL,NULL
265050,Chiaus,Synonym of Teon,NULL,NULL,NULL
345040,Chibuzú,Synonym of Poas,NULL,NULL,NULL
311360,Chichaldinskoi,Synonym of Shishaldin,NULL,NULL,NULL
343010,Chichicastepec,"Synonym of Apaneca, Cerro de",NULL,NULL,NULL
344020,Chichigalpa,Synonym of Casita,NULL,NULL,NULL
341098,Chichihuale,"Dome of Cumbres,  Las",NULL,NULL,NULL
341100,"Chichihuale, Cerro","Dome of Orizaba, Pico de",NULL,NULL,NULL
341100,Chichimeco,"Dome of Orizaba, Pico de",NULL,NULL,NULL
390081,Montagu Island,Shield,-58.445,-26.374,1370
341080,"Chichinautzin, Cerro",Shield volcano of Chichinautzin,NULL,NULL,NULL
342190,"Chichintor, Cerrito",Cone of Ipala,NULL,NULL,NULL
390017,Morning,Shield,-78.5,163.53,2723
341120,"Chichonal, El","Synonym of Chichon, El",NULL,NULL,NULL
343070,Chichontepec,Synonym of San Vicente,NULL,NULL,NULL
343070,Chichontepeque,Synonym of San Vicente,NULL,NULL,NULL
341130,Chichuj,Stratovolcano of Tacana,NULL,NULL,NULL
272020,Chicken Killer,Thermal of Kanlaon,NULL,NULL,NULL
342080,"Chico, Pico",Synonym of Yepocapa,NULL,NULL,NULL
353050,"Chico, Volcán","Fissure vent of Negra, Sierra",NULL,NULL,NULL
305050,Chien-Shui-Ting-Tzu,Synonym of Jianshuidingzi,NULL,NULL,NULL
211042,Chiesa Vecchia,Stratovolcano of Lipari,NULL,NULL,NULL
222070,Chiewo,Cone of Homa Mountain,NULL,NULL,NULL
312110,Chigignagak,Synonym of Chiginagak,NULL,NULL,NULL
333030,Moua Pihaa,Submarine,-18.325,-148.525,-312
281032,Chihsingshan,Synonym of Cising,NULL,NULL,NULL
357123,Chihuio,Stratovolcano of Huanquihue Group,NULL,NULL,NULL
320030,Chikoida Mountain,Cone of Atlin Volcanic Field,NULL,NULL,NULL
283010,Chikubo,Cone of Izu-Tobu,NULL,NULL,NULL
300060,Mutnovsky,Complex,52.449,158.196,2288
290360,Chikura-dake,Synonym of Chikurachki,NULL,NULL,NULL
341061,"Chilacayote, Cerro el",Shield volcano of Zitácuaro-Valle de Bravo,NULL,NULL,NULL
354030,"Chilcas, Cerro las",Dome of Huaynaputina,NULL,NULL,NULL
354004,"Chilcayoc Grande, Volcán",Pyroclastic cone of Andahua-Orcopampa,NULL,NULL,NULL
354004,"Chilcayoc, Volcánes",Pyroclastic cone of Andahua-Orcopampa,NULL,NULL,NULL
351110,Chiles,Stratovolcano of Chiles-Cerro Negro,NULL,NULL,NULL
345034,"Chiles, Los",Pyroclastic cone of Platanar,NULL,NULL,NULL
284070,Myojinsho,Submarine,31.888,139.918,11
341061,Chilesdo,Dome of Zitácuaro-Valle de Bravo,NULL,NULL,NULL
260001,Narcondum,Stratovolcano,13.43,94.28,710
357070,Chillan Viejo,"Synonym of Viejo, Volcán",NULL,NULL,NULL
322110,Newberry,Shield,43.722,-121.229,2434
252021,Chilling Island,Synonym of Silenge Island,NULL,NULL,NULL
358050,"Chiloe, Volcan de (?)",Synonym of Corcovado,NULL,NULL,NULL
344091,Chiltepe,Synonym of Apoyeque,NULL,NULL,NULL
344091,"Chiltepe, Volcán",Dome of Apoyeque,NULL,NULL,NULL
386011,Nightingale Island,Stratovolcano,-37.42,-12.48,365
252010,Chimney Crater,Crater of Langila,NULL,NULL,NULL
353091,Chimney Mountain,Cone of Santa Cruz,NULL,NULL,NULL
313010,"Chinabora, Mount",Synonym of Augustine,NULL,NULL,NULL
357110,Chinal,Synonym of Llaima,NULL,NULL,NULL
284132,Nikko,Submarine,23.078,142.326,-392
344020,Chinandega,Synonym of San Cristobal,NULL,NULL,NULL
355101,"Chincillas, Cerro las",Cone of Cordón de Puntas Negras,NULL,NULL,NULL
341080,"Chinconquiat, Cerro",Pyroclastic cone of Chichinautzin,NULL,NULL,NULL
344020,Chinendega,Synonym of San Cristobal,NULL,NULL,NULL
354007,"Chingana, Cerro la","Dome of Chachani, Nevado",NULL,NULL,NULL
300350,Chingeingein,Shield volcano of Uksichan,NULL,NULL,NULL
284096,Nishinoshima,Caldera,27.247,140.874,25
342170,"Chingo, Volcán",Stratovolcano of Chingo,NULL,NULL,NULL
305040,Ching-pe,Synonym of Jingbo,NULL,NULL,NULL
305040,Chingpohu,Synonym of Jingbo,NULL,NULL,NULL
305050,Chingyu,Synonym of Longgang Group,NULL,NULL,NULL
343050,"Chinitos, Los",Fissure vent of San Salvador,NULL,NULL,NULL
343020,"Chino, Cerro","Synonym of Olla, Cerro la",NULL,NULL,NULL
342110,"Chino, Cerro",Pyroclastic cone of Pacaya,NULL,NULL,NULL
341060,"Chino, Cerro del",Pyroclastic cone of Michoacan-Guanajuato,NULL,NULL,NULL
282130,Chinoike-jigoku,Thermal of Yufu-Tsurumi,NULL,NULL,NULL
383030,Chinyero,Pyroclastic cone of Tenerife,NULL,NULL,NULL
383030,"Chío, Montaña",Fissure vent of Tenerife,NULL,NULL,NULL
343010,Chipilapa,Thermal of Apaneca Range,NULL,NULL,NULL
243140,Niuatahi,Caldera,-15.379,-174.003,-1270
354030,Chiquiomate,Synonym of Huaynaputina,NULL,NULL,NULL
342110,"Chiquito, Cerro",Dome of Pacaya,NULL,NULL,NULL
211042,Chirica,Stratovolcano of Lipari,NULL,NULL,NULL
290150,Chirihoi,Synonym of Brat Chirpoev,NULL,NULL,NULL
290150,Chirihoigaku,Synonym of Brat Chirpoev,NULL,NULL,NULL
331031,North Gorda Ridge Segment,Submarine,42.67,-126.78,-3000
290260,Chirinkutan,Synonym of Chirinkotan,NULL,NULL,NULL
290090,Chirip,Synonym of Chirippusan [Chirip],NULL,NULL,NULL
290090,Chiripnapui,Synonym of Chirippusan [Chirip],NULL,NULL,NULL
290090,Chiripnupuri,Synonym of Chirippusan [Chirip],NULL,NULL,NULL
290090,Chiriporupuri,Synonym of Chirippusan [Chirip],NULL,NULL,NULL
290090,Chirippu-dake,Synonym of Chirippusan [Chirip],NULL,NULL,NULL
334040,Northern EPR at 10.7°N,Submarine,10.73,-103.58,-2900
346010,"Chiriqui, Volcán de",Synonym of Baru,NULL,NULL,NULL
283030,Chiri-yama,Synonym of Fujisan,NULL,NULL,NULL
334021,Northern EPR at 16°N,Submarine,15.83,-105.43,-2300
346010,Chirriqui,Synonym of Baru,NULL,NULL,NULL
285031,Chisenupuri,Dome of Niseko,NULL,NULL,NULL
290380,Chishima-iwo-zan,Synonym of Ebeko,NULL,NULL,NULL
233020,"Chisny, Piton","Pyroclastic cone of Fournaise, Piton de la",NULL,NULL,NULL
221280,Chitu,Maar of O'a Caldera,NULL,NULL,NULL
357050,"Chivato, Volcán",Cone of Descabezado Grande,NULL,NULL,NULL
353120,"Chivo, Cerro",Cone of San Cristobal (Ecuador),NULL,NULL,NULL
341001,"Chivo, Cerro el",Cone of Pinacate,NULL,NULL,NULL
357066,"Chivo, del",Pyroclastic cone of Payun Matru,NULL,NULL,NULL
352011,"Chivo, Loma el",Dome of Pululahua,NULL,NULL,NULL
300280,Choaschen,Synonym of Ichinsky,NULL,NULL,NULL
343060,"Chocolate, Cerro","Synonym of Colorado, Cerro",NULL,NULL,NULL
345034,Chocosuela,Pleistocene caldera of Platanar,NULL,NULL,NULL
358010,Choduanpire,Synonym of Osorno,NULL,NULL,NULL
358010,Chodueco,Synonym of Osorno,NULL,NULL,NULL
300053,Chojochongen,Synonym of Khodutka,NULL,NULL,NULL
283220,Chokai,Synonym of Chokaisan,NULL,NULL,NULL
334020,Northern EPR at 17°N,Submarine,16.55,-105.32,-2700
283220,Chokai-san,Synonym of Chokaisan,NULL,NULL,NULL
302030,Cholomdyk (Cholomdik),Pyroclastic cone of Udokan Plateau,NULL,NULL,NULL
214010,Chomart-Kol,Pyroclastic cone of Elbrus,NULL,NULL,NULL
357110,Chome,Crater of Llaima,NULL,NULL,NULL
345050,"Chompipe, Cerro",Stratovolcano of Barva,NULL,NULL,NULL
344020,"Chonce, El","Synonym of Chonco, Volcán el",NULL,NULL,NULL
344020,Choncle,"Synonym of Chonco, Volcán el",NULL,NULL,NULL
344020,"Chonco, Volcán el",Stratovolcano of San Cristobal (Nicaragua),NULL,NULL,NULL
212020,Choni,Dome of Methana,NULL,NULL,NULL
305060,Ch'on-ji,Synonym of Tianchi,NULL,NULL,NULL
306020,Choogaryong,Synonym of Ch'uga-ryong,NULL,NULL,NULL
210020,"Chopine, Puy",Dome of Chaine des Puys,NULL,NULL,NULL
300460,Chorny,Synonym of Cherny,NULL,NULL,NULL
283130,Choshichiro-yama,Dome of Akagisan,NULL,NULL,NULL
357130,Choshuenco,Stratovolcano of Mocho-Choshuenco,NULL,NULL,NULL
357130,Choshuenco-El Mocho,Synonym of Mocho-Choshuenco,NULL,NULL,NULL
357130,Choshuenco-Pillan,Synonym of Mocho-Choshuenco,NULL,NULL,NULL
233010,Choungou-Chagnoumeni,Pit crater of Karthala,NULL,NULL,NULL
233010,Choungou-Chahale,Pit crater of Karthala,NULL,NULL,NULL
233010,Choungou-Chamadji,Crater of Karthala,NULL,NULL,NULL
300120,Choupanov,Synonym of Zhupanovsky,NULL,NULL,NULL
321010,Chowder Ridge,Stratovolcano of Baker,NULL,NULL,NULL
390050,Christensen Nunatak,Cone of Seal Nunataks Group,NULL,NULL,NULL
241040,Christmas,Former crater of Whakaari/White Island,NULL,NULL,NULL
231090,"Chubbe, Jabal","Crater of Arhab, Harra of",NULL,NULL,NULL
342170,Chucamitepeque,"Synonym of Siete Cerros, Loma Los",NULL,NULL,NULL
214010,Chuchkhur,Pyroclastic cone of Elbrus,NULL,NULL,NULL
357111,"Chufquen, Volcán",Cone of Sollipulli,NULL,NULL,NULL
334050,Northern EPR at 9.8°N,Submarine,9.83,-104.3,-2500
311240,Chuginadak,Synonym of Cleveland,NULL,NULL,NULL
311030,Chugul,Synonym of Segula,NULL,NULL,NULL
285090,Chuhuku,Crater of Shiretoko-Iozan,NULL,NULL,NULL
303010,Chuluut,Synonym of Taryatu-Chulutu,NULL,NULL,NULL
222170,Chungururu,Maar of Kyejo,NULL,NULL,NULL
275110,Chun-po,Synonym of Tengchong,NULL,NULL,NULL
285050,Chuo-Kakokyu,Cone of Tokachidake,NULL,NULL,NULL
283190,Chuo-Zao,Stratovolcano of Zaozan [Zaosan],NULL,NULL,NULL
342120,Chupadero,Crater of Tecuamburro,NULL,NULL,NULL
355010,"Chupiquiña, Nevado",Stratovolcano of Tacora,NULL,NULL,NULL
221294,Northern Lake Abaya Volcanic Field,Volcanic field,6.76,37.97,1594
223004,Chuwera,Crater of Bunyaruguru,NULL,NULL,NULL
290150,Chyornogo,Synonym of Chirpoi,NULL,NULL,NULL
312180,Novarupta,Caldera,58.27,-155.157,841
211004,Ciampino,Crater of Colli Albani,NULL,NULL,NULL
263090,Ciatur,Thermal of Tangkuban Parahu,NULL,NULL,NULL
263040,Cibeureum,Thermal of Perbakti-Gagak,NULL,NULL,NULL
263040,Cibeureum Palasari,Thermal of Perbakti-Gagak,NULL,NULL,NULL
263040,"Cibodas, Cipanas",Thermal of Perbakti-Gagak,NULL,NULL,NULL
263040,"Cibodas, Kawah",Thermal of Perbakti-Gagak,NULL,NULL,NULL
263050,"Cibodas, Kawah",Thermal of Salak,NULL,NULL,NULL
263070,"Cibuni, Kawah",Thermal of Patuha,NULL,NULL,NULL
343080,"Ciega, Laguna",Stratovolcano of Tecapa,NULL,NULL,NULL
343050,"Ciega, Laguna",Pyroclastic cone of San Salvador,NULL,NULL,NULL
383030,"Ciego, Montaña",Pyroclastic cone of Tenerife,NULL,NULL,NULL
263050,"Cigamea, Kawah",Thermal of Salak,NULL,NULL,NULL
211010,Cigliano,Crater of Campi Flegrei,NULL,NULL,NULL
211030,Ciglio,Cone of Ischia,NULL,NULL,NULL
281032,Cigu,Dome of Tatun Volcanic Group,NULL,NULL,NULL
284136,NW Eifuku,Submarine,21.485,144.043,-1535
263110,Cigupakan,Thermal of Kendang,NULL,NULL,NULL
263050,"Cihideung, Cipanas",Thermal of Salak,NULL,NULL,NULL
263050,"Cikaluwung Putri, Kawah",Thermal of Salak,NULL,NULL,NULL
263040,"Cikaluwung, Cipanas",Thermal of Perbakti-Gagak,NULL,NULL,NULL
263040,"Cikaluwungherang, Kawah",Thermal of Perbakti-Gagak,NULL,NULL,NULL
263180,"Cilekatan, Gunung",Cone of Slamet,NULL,NULL,NULL
263180,"Cilik, Gunung",Cone of Slamet,NULL,NULL,NULL
263350,"Cilik, Gunung",Cone of Ijen,NULL,NULL,NULL
211070,Cimotoe,Submarine crater of Campi Flegrei del Mar di Sicilia,NULL,NULL,NULL
382050,Cinco Picos,Shield volcano of Terceira,NULL,NULL,NULL
323020,Cinder Butte,Cone of Medicine Lake,NULL,NULL,NULL
320060,Cinder Cliff,Cone of Edziza,NULL,NULL,NULL
323020,Cinder Cone,Pyroclastic cone of Medicine Lake,NULL,NULL,NULL
323080,Cinder Cone,Pyroclastic cone of Lassen Volcanic Center,NULL,NULL,NULL
323010,Cinder Cone,Pyroclastic cone of Shasta,NULL,NULL,NULL
320190,"Cinder Cone, The",Cone of Garibaldi Lake,NULL,NULL,NULL
322110,Cinder Hill,Cone of Newberry,NULL,NULL,NULL
332010,Cinder Hills,Cone of Kilauea,NULL,NULL,NULL
320090,Cinder Mountain,Cone of Iskut-Unuk River Cones,NULL,NULL,NULL
284211,NW Rota-1,Submarine,14.601,144.775,-517
343051,"Cinotepec, Cerro","Synonym of Cinotepeque, Cerro",NULL,NULL,NULL
300650,Nylgimelkin,Shield(s),57.97,160.65,1764
343051,"Cinotepeque, Cerro","Pyroclastic cone of Cinotepeque, Cerro",NULL,NULL,NULL
211071,Cinque Denti,Pleistocene caldera of Pantelleria,NULL,NULL,NULL
382090,Cintrao,Dome of Agua de Pau,NULL,NULL,NULL
222056,Ciothirai,Cone of Nyambeni Hills,NULL,NULL,NULL
263040,Cipamatutan,Thermal of Perbakti-Gagak,NULL,NULL,NULL
263050,"Cipanas, Kawah",Thermal of Salak,NULL,NULL,NULL
263170,Ciremai,Synonym of Cereme,NULL,NULL,NULL
390020,"Cis, Mount",Cone of Erebus,NULL,NULL,NULL
